player1,player1_race,player2,player2_race,map,game_type,ladder,file,game_version,region,game_length,winrace,loser,loser_race,winner_name
blarg,Zerg,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 2 - ZvZ - Game 7.SC2Replay,84643,us,0:09:26,Zerg,blarg,Zerg,ViBE
JAV,Terran,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 3 - ZvT - Game 9.SC2Replay,84643,us,0:12:25,Zerg,JAV,Terran,ViBE
stewpy,Protoss,OKOKOK,Terran,Tropical Sacrifice,1v1,True,Tropical Sacrifice (9).SC2Replay,88500,us,0:06:02,Protoss,OKOKOK,Terran,stewpy
KuroMage,Zerg,OKOKOK,Zerg,Hardwire LE,1v1,True,Hardwire LE (2).SC2Replay,87702,us,0:11:07,Zerg,OKOKOK,Zerg,KuroMage
OKOKOK,Terran,CERVEAUMAN,Protoss,Data-C,1v1,True,Data-C (5).SC2Replay,88500,us,0:09:40,Terran,CERVEAUMAN,Protoss,OKOKOK
OKOKOK,Zerg,Void,Protoss,Stargazers,1v1,True,Stargazers (8).SC2Replay,88500,us,0:14:07,Protoss,OKOKOK,Zerg,Void
OKOKOK,Terran,Thos,Terran,Waterfall,1v1,True,Waterfall (18).SC2Replay,88500,us,0:06:56,Terran,Thos,Terran,OKOKOK
ViBE,Zerg,Raúl,Zerg,Beckett Industries LE,1v1,True,Diamond 1 - ZvZ - Game 10.SC2Replay,84643,us,0:04:36,Zerg,Raúl,Zerg,ViBE
Camel,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvZ - Game 23.SC2Replay,84643,us,0:05:25,Zerg,Camel,Zerg,ViBE
IIIIIIIII,Zerg,OKOKOK,Zerg,Inside and Out,1v1,True,Inside and Out (6).SC2Replay,88500,us,0:00:01,Zerg,IIIIIIIII,Zerg,OKOKOK
ViBE,Zerg,DarkerDayzud,Zerg,Romanticide LE,1v1,True,Diamond 2 - ZvZ - Game 11.SC2Replay,84643,us,0:05:38,Zerg,DarkerDayzud,Zerg,ViBE
ViBE,Zerg,ThorKen,Zerg,Lightshade LE,1v1,True,Diamond 3 - ZvZ - Game 4.SC2Replay,84643,us,0:06:33,Zerg,ThorKen,Zerg,ViBE
ViBE,Zerg,Dingles,Protoss,Beckett Industries LE,1v1,True,Diamond 2 - ZvP - Game 13.SC2Replay,84643,us,0:13:17,Zerg,Dingles,Protoss,ViBE
DaGreenie,Protoss,OKOKOK,Protoss,Moondance,1v1,True,Moondance (2).SC2Replay,88500,us,0:00:00,None,,,None
ViBE,Zerg,Jam,Terran,2000 Atmospheres LE,1v1,True,Diamond 3 - ZvT - Game 7.SC2Replay,84643,us,0:12:22,Zerg,Jam,Terran,ViBE
OKOKOK,Protoss,flipflappers,Protoss,Waterfall,1v1,True,Waterfall (3).SC2Replay,88500,us,0:17:49,Protoss,OKOKOK,Protoss,flipflappers
ViBE,Zerg,MrTerribad,Terran,2000 Atmospheres LE,1v1,True,Diamond 3 - ZvT - Game 8.SC2Replay,84643,us,0:06:44,Zerg,MrTerribad,Terran,ViBE
ViBE,Zerg,JSJD,Terran,Jagannatha LE,1v1,True,Diamond 2 - ZvT - Game 2.SC2Replay,84643,us,0:13:40,Zerg,JSJD,Terran,ViBE
OKOKOK,Terran,SaSu,Terran,Inside and Out,1v1,True,Inside and Out (9).SC2Replay,88500,us,0:07:17,Terran,SaSu,Terran,OKOKOK
uGG,Protoss,OKOKOK,Zerg,Moondance,1v1,True,Moondance (10).SC2Replay,88500,us,0:17:38,Protoss,OKOKOK,Zerg,uGG
ViBE,Zerg,NMxMrStabby,Zerg,Romanticide LE,1v1,True,Diamond 1 - ZvZ - Game 6.SC2Replay,84643,us,0:09:42,Zerg,NMxMrStabby,Zerg,ViBE
firebat,Terran,ViBE,Zerg,Romanticide LE,1v1,True,Diamond 1 - ZvT - Game 4.SC2Replay,84643,us,0:12:26,Zerg,firebat,Terran,ViBE
OKOKOK,Zerg,SHOOTER,Protoss,Royal Blood LE,1v1,True,Royal Blood LE.SC2Replay,89720,us,0:03:24,Zerg,SHOOTER,Protoss,OKOKOK
Nevik,Zerg,ViBE,Zerg,Blackburn LE,1v1,True,Diamond 3 - ZvZ - Game 15.SC2Replay,84643,us,0:17:02,Zerg,Nevik,Zerg,ViBE
OKOKOK,Terran,Tigger,Terran,Moondance,1v1,True,Moondance (5).SC2Replay,88500,us,0:14:49,Terran,OKOKOK,Terran,Tigger
OKOKOK,Terran,Talicsnake,Terran,Inside and Out,1v1,True,Inside and Out (4).SC2Replay,88500,us,0:07:08,Terran,OKOKOK,Terran,Talicsnake
DaCkesitO,Terran,ViBE,Zerg,Oxide LE,1v1,True,Diamond 1 - ZvT - Game 5.SC2Replay,84643,us,0:14:36,Zerg,DaCkesitO,Terran,ViBE
Brdi,Protoss,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 2 - ZvP - Game 27.SC2Replay,84643,us,0:21:06,Zerg,Brdi,Protoss,ViBE
Scuachi,Zerg,OKOKOK,Terran,Data-C,1v1,True,Data-C (11).SC2Replay,88500,us,0:07:25,Terran,Scuachi,Zerg,OKOKOK
ViBE,Zerg,Corp,Terran,Lightshade LE,1v1,True,Diamond 2 - ZvT - Game 18.SC2Replay,84643,us,0:12:08,Zerg,Corp,Terran,ViBE
BeeThousand,Zerg,OKOKOK,Zerg,Moondance,1v1,True,Moondance (9).SC2Replay,88500,us,0:08:28,Zerg,BeeThousand,Zerg,OKOKOK
ViBE,Zerg,mradam,Zerg,Beckett Industries LE,1v1,True,Diamond 3 - ZvZ - Game 3.SC2Replay,84643,us,0:06:33,Zerg,mradam,Zerg,ViBE
IIIIIIIIIIII,Terran,ViBE,Zerg,Lightshade LE,1v1,True,Diamond 1 - ZvT - Game 1.SC2Replay,84643,us,0:08:47,Zerg,IIIIIIIIIIII,Terran,ViBE
Trunks,Protoss,ViBE,Zerg,Oxide LE,1v1,True,Diamond 3 - ZvP - Game 5.SC2Replay,84643,us,0:16:41,Zerg,Trunks,Protoss,ViBE
FoxeR,Terran,ViBE,Zerg,Beckett Industries LE,1v1,True,Diamond 1 - ZvT - Game 9.SC2Replay,84643,us,0:11:29,Zerg,FoxeR,Terran,ViBE
MolotoV,Zerg,OKOKOK,Terran,Data-C,1v1,True,Data-C (10).SC2Replay,88500,us,0:08:35,Zerg,OKOKOK,Terran,MolotoV
NorseGoat,Protoss,OKOKOK,Zerg,Pride of Altaris LE,1v1,True,Pride of Altaris LE.SC2Replay,86383,us,0:06:26,Protoss,OKOKOK,Zerg,NorseGoat
OKOKOK,Terran,Supermarmota,Terran,Waterfall,1v1,True,Waterfall (15).SC2Replay,88500,us,0:03:29,Terran,OKOKOK,Terran,Supermarmota
Chimichanga,Zerg,OKOKOK,Zerg,Cosmic Sapphire,1v1,True,Cosmic Sapphire (14).SC2Replay,88500,us,0:13:36,Zerg,Chimichanga,Zerg,OKOKOK
OKOKOK,Zerg,Mapogu,Terran,Waterfall,1v1,True,Waterfall (8).SC2Replay,88500,us,0:12:37,Zerg,Mapogu,Terran,OKOKOK
ViBE,Zerg,ByeonGgEo,Protoss,Beckett Industries LE,1v1,True,Diamond 1 - ZvP - Game 22.SC2Replay,84643,us,0:02:33,Zerg,ByeonGgEo,Protoss,ViBE
ZergRhythm,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 3 - ZvZ - Game 12.SC2Replay,84643,us,0:09:59,Zerg,ZergRhythm,Zerg,ViBE
ZUNZET,Zerg,ViBE,Zerg,Oxide LE,1v1,True,Diamond 1 - ZvZ - Game 25.SC2Replay,84643,us,0:06:39,Zerg,ZUNZET,Zerg,ViBE
deepfear,Zerg,OKOKOK,Zerg,Equilibrium LE,1v1,True,Equilibrium LE.SC2Replay,91115,us,0:18:44,Zerg,deepfear,Zerg,OKOKOK
OKOKOK,Zerg,Qhuengi,Zerg,Inside and Out,1v1,True,Inside and Out (3).SC2Replay,88500,us,0:05:55,Zerg,Qhuengi,Zerg,OKOKOK
OKOKOK,Zerg,orcrine,Protoss,Cosmic Sapphire,1v1,True,Cosmic Sapphire (2).SC2Replay,88500,us,0:07:40,Protoss,OKOKOK,Zerg,orcrine
OKOKOK,Zerg,llllllllllll,Terran,Data-C,1v1,True,Data-C (3).SC2Replay,88500,us,0:26:28,Terran,OKOKOK,Zerg,llllllllllll
ViBE,Zerg,abe,Zerg,Romanticide LE,1v1,True,Diamond 2 - ZvZ - Game 21.SC2Replay,84643,us,0:09:16,Zerg,abe,Zerg,ViBE
Cin,Zerg,ViBE,Zerg,Jagannatha LE,1v1,True,Diamond 1 - ZvZ - Game 21.SC2Replay,84643,us,0:13:39,Zerg,Cin,Zerg,ViBE
Geburah,Terran,OKOKOK,Zerg,Waterfall,1v1,True,Waterfall (5).SC2Replay,88500,us,0:13:12,Terran,OKOKOK,Zerg,Geburah
gabrielo,Zerg,OKOKOK,Protoss,Stargazers,1v1,True,Stargazers (5).SC2Replay,88500,us,0:00:02,Zerg,OKOKOK,Protoss,gabrielo
SkinMilk,Zerg,ViBE,Zerg,Oxide LE,1v1,True,Diamond 1 - ZvZ - Game 16.SC2Replay,84643,us,0:10:50,Zerg,SkinMilk,Zerg,ViBE
Countersmell,Protoss,OKOKOK,Terran,Stargazers,1v1,True,Stargazers (7).SC2Replay,88500,us,0:11:44,Protoss,OKOKOK,Terran,Countersmell
FatalglorY,Protoss,ViBE,Zerg,2000 Atmospheres LE,1v1,True,Diamond 2 - ZvP - Game 4.SC2Replay,84643,us,0:16:28,Zerg,FatalglorY,Protoss,ViBE
OKOKOK,Zerg,awS,Zerg,Cosmic Sapphire,1v1,True,Cosmic Sapphire (3).SC2Replay,88500,us,0:06:25,Zerg,awS,Zerg,OKOKOK
ViBE,Zerg,YourWIFI,Terran,Romanticide LE,1v1,True,Diamond 3 - ZvT - Game 14.SC2Replay,84643,us,0:12:15,Zerg,YourWIFI,Terran,ViBE
OKOKOK,Terran,RedBrand,Protoss,Beckett Industries LE,1v1,True,Beckett Industries LE.SC2Replay,86383,us,0:11:15,Protoss,OKOKOK,Terran,RedBrand
OKOKOK,Zerg,IIIIIIIIIIII,Terran,Waterfall,1v1,True,Waterfall (12).SC2Replay,88500,us,0:14:00,Zerg,IIIIIIIIIIII,Terran,OKOKOK
OKOKOK,Zerg,Clutch,Zerg,Ancient Cistern LE,1v1,True,Doraste Ancient Cistern LE.SC2Replay,90136,us,0:12:11,Zerg,OKOKOK,Zerg,Clutch
